dimension,birth,death
1,191.78798156175097,234.97688540479058
1,96.46915029060976,118.69160866612168
1,216.72263904733936,235.81579300184075
1,136.0001591155651,152.2521979618349
1,286.4308717347012,298.9520717223416
1,136.91350182316197,145.85790273777832
1,157.77530260538242,165.98460695263094
1,178.7832522915455,183.65499137759733
1,104.42169067685845,108.49494905884086
1,133.2035998453307,135.969231140086
1,109.15455808632043,110.53101895469219
1,108.57744156046833,109.80271567456447
0,0.0,inf
0,0.0,240.46665097909744
0,0.0,199.00903104393808
0,0.0,179.41437258151683
0,0.0,172.12301654147979
0,0.0,152.923698440133
0,0.0,151.8152652184521
0,0.0,150.02840326788518
0,0.0,136.35882585365633
0,0.0,133.79977880887705
0,0.0,130.46415760269682
0,0.0,129.4076612408239
0,0.0,118.05931341093866
0,0.0,117.93627270691732
0,0.0,117.78454270296119
0,0.0,114.68052182961593
0,0.0,111.63393111211194
0,0.0,109.30879817175291
0,0.0,107.00328424088187
0,0.0,106.70851344175081
0,0.0,106.00330985879496
0,0.0,104.62082838334662
0,0.0,103.26658711669388
0,0.0,93.54195226041287
0,0.0,91.97935612084763
0,0.0,90.99525039829172
0,0.0,90.70851591827872
0,0.0,90.33223430330366
0,0.0,88.89781583100412
0,0.0,86.25851746127874
0,0.0,84.41815000122479
0,0.0,80.84794436407485
0,0.0,79.97815042249762
0,0.0,79.10763216767992
0,0.0,75.16148308958644
0,0.0,75.10923468318835
0,0.0,74.99049773339297
0,0.0,73.50288097404263
0,0.0,71.92841146499427
0,0.0,69.11637865874796
0,0.0,65.61611991048738
0,0.0,63.717406527882105
0,0.0,62.553687056793294
0,0.0,61.477961116553345
0,0.0,56.27502963361697
0,0.0,55.11930572683467
0,0.0,53.65867404978678
0,0.0,52.96805504367372
0,0.0,51.85002793804026
0,0.0,47.50775387244312
0,0.0,46.87687725982062
0,0.0,45.57301743523251
0,0.0,45.24528831932026
0,0.0,44.674612551375425
0,0.0,44.56948439218349
0,0.0,44.42333243367463
0,0.0,41.6875997463349
0,0.0,40.666887238452034
0,0.0,39.69454187309241
0,0.0,37.282817634416716
0,0.0,37.13154689083038
0,0.0,35.793317510735136
0,0.0,33.63309599254236
0,0.0,33.272132584249526
0,0.0,32.41135021981563
0,0.0,29.324137552175173
0,0.0,27.185151691970052
0,0.0,26.902172051187655
0,0.0,24.421405041602316
0,0.0,22.968141083783344
0,0.0,22.50772672934619
0,0.0,21.932928200193118
0,0.0,21.223831577245605
0,0.0,20.191508102899473
0,0.0,18.709820529060345
0,0.0,18.18075167331729
0,0.0,17.259674873531143
0,0.0,16.714012513436238
0,0.0,16.677972476639223
0,0.0,16.278073234374816
0,0.0,16.136685362054155
0,0.0,15.81913887680982
0,0.0,15.369096930763847
0,0.0,14.742006597053289
0,0.0,14.260821672336467
0,0.0,14.137805811618284
0,0.0,14.024035291248593
0,0.0,13.895757805517057
0,0.0,13.8839888747289
0,0.0,13.427863757017931
0,0.0,12.397728276608577
0,0.0,12.088937126796768
0,0.0,11.568155180433484
0,0.0,11.270557773211749
0,0.0,11.101946298259147
0,0.0,10.842958798927457
0,0.0,10.445073833077057
0,0.0,8.598144139315853
